pdf	pdf.name	REF	Pages	Abstract
11	Anderson1978.pdf	"Anderson, R.M; May, R.M. 1978. Regulation and Stability of Host-Parasite Population Interactions. Journal of Animal Ecology 47:219-247"	29	"(1) Several models describing the dynamics of host-parasite associations are discussed. (2) The models contain the central assumption that the parasite increases the rate of host mortalities. The parasite induced changes in this rate are formulated as functions of the parasite numbers per host and hence of the statistical distribution of the parasites within the host population. (3) The parameters influencing the ability of the parasite to regulate the growth of its host's population, and the stability of parasite induced equilibria, are examined for each model. (4) Three specific categories of population processes are shown to be of particular significance in stabilizing the dynamical behaviour of host-parasite interactions and enhancing the regulatory role of the parasite. These categories are overdispersion of parasite numbers per host, nonlinear functional relationships between parasite burden per host and host death rate, and density depen- dent constraints on parasite population growth within individual hosts. "
12	Anderson1979.pdf	"Anderson, R.M; May, R.M. 1979. Population biology of infectious diseases: Part I. Nature 280:361-367"	7	No Abstract
13	Anderson1980.pdf	"Anderson, R.M; May, R.M. 1980. Infectious Diseases and Population Cycles of Forest Insects. Science 210:658-661"	4	"The regulation of natural populations of invertebrate hosts by viral, bacterial, protozoan, or helminith infections is discussed, using models that combine elements of conventional epidemiology (where the host population is assumed constant) with dynamic elements drawn from predator-prey studies; the apparent absence of acquired immunity in invertebrates simplifies the analysis. Highly pathogenic infections, with long-lived infective stages, tend to produce cyclic behavior in their host populations. The models give an explanation of the 9- to 10-year population cycles of the larch bud moth (Zeiraphera diniana) in the European Alps and suggest that microsporidian protozoan and baculovirus infections may be responsible for the 5- to 12-year population cycles observed in many temperate forest insects."
14	Anderson1981.pdf	"Anderson, R.M; May, R.M. 1981. The Population Dynamics of Microparasites and Their Invertebrate Hosts. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences 291:451-524."	74	No Abstract
15	Andren1994.pdf	"Andren, H. 1994. Effects of Habitat Fragmentation on Birds and Mammals in Landscapes with Different Proportions of Suitable Habitat: A Review. Oikos 71:355-366"	12	"Habitat fragmentation implies a loss of habitat, reduced patch size and an increasing distance between patches, but also an increase of new habitat. Simulations of patterns and geometry of landscapes with decreasing proportion of the suitable habitat give rise to the prediction that the effect of habitat fragmentation on e.g. population size of a species would be primarily through habitat loss in landscape with a high proportion of suitable habitat. However, as the proportion of suitable habitat decreases in the landscape, area and isolation effects start influencing the population size of the species. Hence, the relative importance of pure habitat loss, patch size and isolation are expected to differ at different degrees of habitat fragmentation. This conclusion was supported by a review of studies on birds and mammals in habitat patches in landscapes with different proportions of suitable habitat: the random sample hypothesis was a good predictor of the effects of habitat fragmentation in landscapes with more than 30% of suitable habitat. In these landscapes, habitat fragmentation is primarily habitat loss. However, in landscapes with highly fragmented habitat, patch size and isolation will complement the effect of habitat loss and the loss of species or decline in population size will be greater than expected from habitat loss alone. Habitat patches are parts of the landscape mosaic and the presence of a species in a patch may be a function not only of patch size and isolation, but also of the neighbouring habitat Habitat generalists may survive in very small patches because they can also utilize resources in the surroundings. Furthermore, the total species diversity across habitats in a given landscape may increase when new patches of habitat are created within the continuous habitat, since new species may be found in these new habitats, even if they are human-made."
16	Armstrong1980.pdf	"Armstrong, R.A.; McGehee, R. 1980. Competitive exclusion. American naturalist 115:151-170"	20	"Recent developments in the mathematical theory of competitive exclusion are discussed and placed in historical perspective. The models which have been used in theoretical investigations of competitive exclusion are classified into two groups: those in which the resources regenerate according to an algebraic relationship (abiotic resource models), and those in which resource regeneration is governed by differential equations (biotic resource models). We then propose a mathematical framework for considering problems of competitive exclusion, and provide examples in which n competitors can coexist on k < n resources (both biotic and abiotic). These systems persist because of internally generated cyclic behavior. We conclude that the competitive exclusion principle applies in general only to coexistence at fixed densities."
17	Attsat1976.pdf	"Atsatt, P.R.; O'Dowd, D.J. 1976. Plant Defense Guilds. Science 193:24-29"	6	Many plants are functionally interdependent with respect to their herbivores.
18	Axelrod1981.pdf	"Axelrod, R.; Hamilton, W. D. 1981. The Evolution of Cooperation. Science 211:1390-1396"	7	"Cooperation in organisms, whether bacteria or primates, has been a difficulty for evolutionary theory since Darwin. On the assumption that interactions between pairs of individuals occur on a probabilistic basis, a model is developed based on the concept of an evolutionarily stable strategy in the context of the Prisoner's Dilemma game. Deductions from the model, and the results of a computer tournament show how cooperation based on reciprocity can get started in an asocial world, can thrive while interacting with a wide range of other strategies, and can resist invasion once fully established. Potential applications include specific aspects of territoriality, mating, and disease."
19	Baer1999.pdf	"Baer, B.; Schmid-Hempel P. 1999. Experimental variation in polyandry affects parasite loads and fitness in a bumble bee. Nature 397:151-154"	4	"In many species of animals, females typically mate with more than one male (polyandry). Some social insects carry this behaviour to extremes1. For example, honeybee queens mate with ten to twenty (or even more) males on their nuptial flights2. The reasons for this behaviour remain unknown, given the obvious costs of time, energy and exposure to predation. Several potential benefits of polyandry have been proposed1,3,3,4, but none are well supported yet. Here we test the hypothesis that genetic diversity among a female's offspring may offer some protection from parasitism5, 6, 7. We artificially inseminated queens of a bumble-bee (Bombus terrestris L.) with sperm of either low or high genetic diversity. The resulting colonies were exposed to parasitism under field conditions. High-diversity colonies had fewer parasites and showed greater reproductive success, on average, than did low-diversity colonies. We suggest that female mating frequency may be influenced in part by parasites."
20	Bak1993.pdf	"Bak, P.; Sneppen, K. 1993. Punctuated equilibrium and criticality in a simple model of evolution. Physical Review Letters 7:4083-4086"	4	"A simple and robust model of biological evolution of an ecology of interacting species is introduced. The model self-organizes into a critical steady state with intermittent coevolutionary avalanches of all sizes; i.e., it exhibits ‘‘punctuated equilibrium’’ behavior. This collaborative evolution is much faster than non-cooperative scenarios since no large and coordinated, and hence prohibitively unlikely, mutations are involved."
21	Barrangou2007.pdf	"Barrangou, R. et al. 2007. CRISPR provides acquired resistance against viruses in prokaryotes. Science 315:1709-1712"	4	"Clustered regularly interspaced short palindromic repeats (CRISPR) are a distinctive feature of the genomes of most Bacteria and Archaea and are thought to be involved in resistance to bacteriophages. We found that, after viral challenge, bacteria integrated new spacers derived from phage genomic sequences. Removal or addition of particular spacers modified the phage-resistance phenotype of the cell. Thus, CRISPR, together with associated cas genes, provided resistance against phages, and resistance specificity is determined by spacer-phage sequence similarity."
22	Barton1985.pdf	"Barton, N.H.; Hewitt, G.M. 1985. Analysis of hybrid zones. Annual Review of Ecology and Systematics 16:113-148"	36	"hybrid zones, trension zones, clines, gene flow, introgression, reproductive isolation, secondary contact zone"
23	Bateman1948.pdf	"Bateman, A.J. 1948. Intra sexual selection in Drosophila. Heredity 2:349-368"	20	"1. The evidence on intra-sexual selection has so far indicated that it acts mainly in males, but it has given no adequate explanation why this should be so. 2. Experiments with Drosophila melanogaster using multiple matings in which each fly carries a different dominant marker, show that the contribution of males to the next generation is more variable than that of females. 3. This sex difference is independent of environmental and heritable effects. Males must therefore be inherently subject to stronger selection than females, which must be due to a more intense intra-sexual action. 4. The intensity of intra-masculine selection is due to the greater dependence of the fertility of males on frequency of insemination. This seems to be inherent in primary sexual differentiation in both animals and plants. 5. Undiscriminating eagerness in males and discriminating passivity in females must have been early effects of intra-masculine selection and are naturally widespread. Previous experiments on sexual isolation in Drosophila can be interpreted on the assumption that females (not males) exercise discrimination. 6. Intra-masculine selection and related effects may have influenced the evolution of animals and plants in various ways."
24	Beaumont2010.pdf	"Beaumont, M.A. 2010. Approximate Bayesian Computation in Evolution and Ecology. Annual Review of Ecology, Evolution, and Systematics 41:379-406"	28	"In the past 10years a statistical technique, approximate Bayesian computation (ABC), has been developed that can be used to infer parameters and choose between models in the complicated scenarios that are often considered in the environmental sciences. For example, based on gene sequence and microsatellite data, the method has been used to choose between competing models of human demographic history as well as to infer growth rates, times of divergence, and other parameters. The method fits naturally in the Bayesian inferential framework, and a brief overview is given of the key concepts. Three main approaches to ABC have been developed, and these are described and compared. Although the method arose in population genetics, ABC is increasingly used in other fields, including epidemiology, systems biology, ecology, and agent-based modeling, and many of these applications are briefly described."
25	Begon1999.pdf	"Begon, M. et al. 1999. Transmission dynamics of a zoonotic pathogen within and between wildlife host species. Proceedings of the Royal Society B: Biological Sciences 266:1939-1945"	7	"The transmission dynamics of the cowpox virus infection have been quantified in two mixed populations of bank voles (Clethrionomys glareolus) and wood mice (Apodemus sylvaticus), through analyses of detailed time-series of the numbers of susceptible, infectious and newly infected individuals. The cowpox virus is a zoonosis which circulates in these rodent hosts and has been shown to have an adverse effect on reproductive output. The transmission dynamics within species is best described as frequency dependent rather than density dependent, contrary to the 'mass action' assumption of most previous studies, both theoretical and empirical. Estimation of a transmission coefficient for each species in each population also allows annual and seasonal variations in transmission dynamics to be investigated through an analysis of regression residuals. Transmission between host species is found to be negligible despite their close cohabitation. The consequences of this for the combining ability of hosts as zoonotic reservoirs, and for apparent competition between hosts, are discussed."
26	Bell2008.pdf	"Bell, G.; Collins, S. 2008. Adaptation, extinction and global change. Evolutionary Applications 1:42430"	1	"We discuss three interlinked issues: the natural pace of environmental change and adaptation, the likelihood that a population will adapt to a potentially lethal change, and adaptation to elevated CO2, the prime mover of global change. 1. Environmental variability is governed by power laws showing that ln differ- ence in conditions increases with ln elapsed time at a rate of 0.3-0.4. This leads to strong but fluctuating selection in many natural populations. 2. The effect of repeated adverse change on mean fitness depends on its fre- quency rather than its severity. If the depression of mean fitness leads to population decline, however, severe stress may cause extinction. Evolu- tionary rescue from extinction requires abundant genetic variation or a high mutation supply rate, and thus a large population size. Although natural populations can sustain quite intense selection, they often fail to adapt to anthropogenic stresses such as pollution and acidification and instead become extinct. 3. Experimental selection lines of algae show no specific adaptation to ele- vated CO2, but instead lose their carbon-concentrating mechanism through mutational degradation. This is likely to reduce the effectiveness of the oceanic carbon pump. Elevated CO2 is also likely to lead to changes in phytoplankton community composition, although it is not yet clear what these will be. We emphasize the importance of experimental evolution in understanding and predicting the biological response to global change. This will be one of the main tasks of evolutionary biologists in the coming decade."
27	Belovsky1997.pdf	"Belovsky, G.E. 1997. Optimal foraging and community structure: The allometry of herbivore food selection and competition. Evolutionary Ecology 11:641-672"	32	"I address the selection of plants with different characteristics by herbivores of different body sizes by incorporating allometric relationships for herbivore foraging into optimal foraging models developed for herbivores. Herbivores may use two criteria in maximizing their nutritional intake when confronted with a range of food resources: a minimum digestibility and a minimum cropping rate. Minimum digestibility should depend on plant chemical characteristics and minimum cropping rate should depend on the density of plant items and their size (mass). If herbivores do select for these plant characteristics, then herbivores of different body sizes should select different ranges of these characteristics due to allometric relationships in digestive physiology, cropping ability and nutritional demands. This selectivity follows a regular pattern such that a herbivore of each body size can exclusively utilize some plants, while it must share other plants with herbivores of other body sizes. I empirically test this hypothesis of herbivore diet selectivity and the pattern of resource use that it produces in the field and experimentally. The findings have important implications for competition among herbivores and their population and community ecology. Furthermore, the results may have general appli- cability to other types of foragers, with general implications for how biodiversity is influenced."
28	Berenbaum2002.pdf	"Berenbaum, M.R. 2002. Postgenomic chemical ecology: from genetic code to ecological interactions. Journal of chemical ecology 28:873-896"	24	"Environmental response genes are defined as those encoding proteins involved in interactions external to the organism, including interactions among organisms and between the organism and its abiotic environment. The general characteristics of environmental response genes include high diversity, proliferation by duplication events, rapid rates of evolution, and tissue- or temporal-specific expression. Thus, environmental response genes include those that encode proteins involved in the manufacture, binding, transport, and breakdown of semiochemicals. Postgenomic elucidation of the function of such genes requires an understanding of the chemical ecology of the organism and, in particular, of the ""small molecules"" that act as selective agents either by promoting survival or causing selective mortality. In this overview, the significance of several groups of environmental response genes is examined in the context of chemical ecology. Cytochrome P-450 monooxygenases provide a case in point; these enzymes are involved in the biosynthesis of furanocoumarins (furocoumarins), toxic allelochemicals, in plants, as well as in their detoxification by lepidopterans. Biochemical innovations in insects and plants have historically been broadly defined in a coevolutionary context. Considerable insight can be gained by defining with greater precision components of those broad traits that contribute to diversification. Molecular approaches now allow chemical ecologists to characterize specifically those biochemical innovations postulated to lead to adaptation and diversification in plant/insect interactions."
29	Bertness1994.pdf	Bertness; C.; Callaway, R. 1994. Positive interactions in communities. Trends in Ecology and Evolution 9:191-193	3	"Current concepts of the role of interspecific interactions in communities have been shaped by a profusion of experimental studies of interspecific competition over the past few decades. Evidence for the importance of positive interactions - facilitations - in community organization and dynamics has accrued to the point where it warrants formal inclusion into community ecology theory, as it has been in evolutionary biology."
30	Bloom85.pdf	"Bloom, A.J.; Chapin, F.S.; Mooney H.A. 1985. Resource limitation in plants- An economic analogy. Annual review of ecology and systematics 16:363-392"	30	"Plant allocation can be related to economic theory whereby plants try to increase fitness as a business would increase profit. Thus plants allocate resources for the maximum possible return (i.e. nutrient acquisition), and store resources when they are most available. Plants attempt to allocate so that all resources are equally limiting and each resource has approximately equal value to the plant (similar exchange ratios)."
31	Boero1994.pdf	"Boero, F. 1994. Fluctuations and variation in coastal marine environments. P.S.Z.N.I: Marine Ecology 15:45717"	1	"The manifold aspects of variability of coastal marine ecosystems are reviewed, with special reference to the response of species and communities. Fluctuations are defined as recurrent modifications in community structure, for instance due to seasonality, whereas variations are defined as changes permanently leading from a given community to a different one. Both patterns are described and linked to the interaction between life history traits and environmental factors. Resting stages are proposed to play a still underestimated role in the dynamics of coastal communities, especially for plankton. Rare species are considered as an essential constant of communities, being the source of potential variation and alternance in the contribution to the standing biomass. Problem fluctuations vs. variations At all latitudes, coastal marine environments are subjected to a certain degree of seasonal fluctuation, affecting biotas (see PBRBs, 1971, for a review). Polar regions are characterized by alternance of ice formation with almost continuous absence of sunlight, and ice melting with almost continuous sunlight. Tempera-ture and rainfall are the main controlling factors at temperate regions, with cold and wet seasons alternating with warm and dry ones. Tropical regions have almost constant temperatures and solar radiation, but rainfalls are seasonal, with alternance of wet and dry seasons; this causes different,conditions of turbidity and nutrient input in coastal waters (e. g., MCCLANAHAN, 1988). Being mediated by the stabilizing properties of water, such seasonal fluctuations are less severe than on land, but are nonetheless strong enough to cause a sharp alternance of different chemico-physical conditions, thus affecting the biological features of coastal environments (see GLOVER, 1979, for a review). The organ-isms inhabiting such environments can be ascribed to two main groups: (a) Ierennial species, active throughout the year; (b) seasonal species, active only uring favourable periods."
32	Boero1996.PDF	"Boero, F. 1996. Episodic events: their relevance to ecology and evolution. Marine Ecology 17:237-250"	14	"An episodic event can be one of the many  episodes  forming a normal flow of related events. But it can also be an incident interrupting a trend and initiating a new one. Appreciation of contrasting meanings of apparently identical categories of phenomena is familiar to evolutionary biologists who, for instance, envisage evolution as the result of both gradual and punctuated events. Seasonal plankton blooms (both normal and noxious), species outbreaks, mass mortalities, and human predation are taken as examples of episodes that can influence and/or modify what we perceive as normality. Recruitment is another example of an episodic event heavily conditioning both community structure and function, as recently highlighted by the so-called supply-side ecology. The reductionistic study of ecology. more linked to thermodynamics than to history, allowed the formulation of general ecological laws which, however, stem from the laws of thermodynamics. The totalizing value of such laws blurs appreciation of heterogeneity and change, so that many ecologists tend to be rather conservative, using a concept like conservation  as an absolute paradigm to follow and to consider  change  as an a priori negative phenomenon. Episodes can have a conservative or innovative meaning, and are the driving force of the history of life. Their importance is recognized mainly when dealing with the history of organisms (evolutionary biology), whereas the assemblages of organisms (i.e., communities) are too often described and interpreted in an ahistorical context or in a too narrow time frame. Recognition of the importance of history in ecology (evolutionary ecology) can lead to a better understanding of environmental dynamics, albeit restricting the supposed predictive strength of ecology, a science timely integrating the reductionistic-thermodynamic approach with the holistic-historical one."
33	Boero2010.pdf	"Boero, F. 2010. The study of species in the era of biodiversity: A tale of stupidity. Diversity 2:115-126"	12	"Research policies ensuing from the Convention on Biological Diversity made huge funds available to study biodiversity. These were mostly dedicated to projects aimed at providing services to taxonomy via information and technology, or to develop “modern”, i.e., molecular, approaches to taxonomy. Traditional taxonomy was overly neglected and is in serious distress all over the world. It is argued that both novel and traditional ways to study biodiversity are essential and that the demise of traditional taxonomy (based on phenotypes) in the era of biodiversity is the result of an unwise policy, mainly fostered by portions of the scientific community that aim at taking total advantage of the funds dedicated to the study of biodiversity."
34	Boero1996a.pdf	"Boero, F. et al. 1996. The continuity of living matter and the discontinuities of its constituents: Do plankton and benthos really exist? Trends in Ecology and Evolution 11:177-180"	4	"Plankton and benthos are popular concepts identifying two ways of life of aquatic organisms. Their spatial separation led to the development of different sampling techniques and to separate conceptualizations of the principles governing these subsets of the aquatic environment. Reciprocal connections between plankton and benthos, however, are very strong both from a functional (energy fluxes) and a structural (life cycle dynamics) point of view. A full appreciation of such links is forcing marine ecology towards a more integrated approach."
35	Boero2004.pdf	"Boero, F. et al. 2004. From biodiversity and ecosystem functioning to the roots of ecological complexity. Ecological Complexity 1:101-109"	9	"Biodiversity is monophyletic: life started with a single species. Biodiversity evolved, becoming more and more complex, by a process that went through many patterns of diversification and that is still running. Biodiversity is not teleological, it did not evolve at the present stage to make a proper world for us, or to make ecosystems function; ecosystems functioned also at the dawn of life, when diversity was very low. Ecology and evolution are strictly linked, and both are historical disciplines that involve non-linear systems with a clear chaotic development, with the co-existence of strong constraints (in both form and function) and powerful contingencies (like those that caused the mass extinctions of the past). Historical predictions can only be weak, and can be formulated only when trends are identified (i.e. the attractors of chaotic systems). Modern ecology discarded natural history, setting quantitative goals that forced it to remove quality from its vision of complexity. This attitude led to enormous conceptual advances that are starting to show their limits. The identification of trends, set by constraints/attractors, and of deviations from them, due to contingencies, is an ambitious and practicable goal for mature ecology."
36	Boero2015.pdf	"Boero, F.; Kraberg, a. C.; Krause, G.; Wiltshire, K. H. 2015. Time is an affliction: Why ecology cannot be as predictive as physics and why it needs time series. Journal of Sea Research 101:43435"	1	"Ecological systems depend on both constraints and historical contingencies, both of which shape their present observable system state. In contrast to ahistorical systems, which are governed solely by constraints (i.e. laws), historical systems and their dynamics can be understood only if properly described, in the course of time. Describing these dynamics and understanding long-term variability can be seen as the mission of long time series measuring not only simple abiotic features but also complex biological variables, such as species diversity and abundances, allowing deep insights in the functioning of food webs and ecosystems in general. Long time-series are irreplaceable for understanding change, and crucially inherent system variability and thus envisaging future scenarios. This notwithstanding current policies in funding and evaluating scientific research discourage the maintenance of long term series, despite a clear need for long-term strategies to cope with climate change. Time series are crucial for a pursuit of the much invoked Ecosystem Approach and to the passage from simple monitoring programs of large-scale and long-term Earth observatories - thus promoting a better understanding of the causes and effects of change in ecosystems. The few ongoing long time series in European waters must be integrated and networked so as to facilitate the formation of nodes of a series of observatories which, together, should allow the long-term management of the features and characteristics of European waters. Human capacity building in this region of expertise and a stronger societal involvement are also urgently needed, since the expertise in recognizing and describing species and therefore recording them reliably in the context of time series is rapidly vanishing from the European Scientific community. "
